# Copyright (C) 2019  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 19.1.0 Build 670 09/22/2019 Patches 0.02std SJ Lite Edition
# File: D:\VHDL\kniha\omdazz\pinplanner.csv
# Generated on: Wed Jun 24 10:16:47 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
beep,Output,PIN_110,7,B7_N0,,,,,,
ckey1,Input,PIN_88,5,B5_N0,,,,,,
ckey2,Input,PIN_89,5,B5_N0,,,,,,
ckey3,Input,PIN_90,6,B6_N0,,,,,,
ckey4,Input,PIN_91,6,B6_N0,,,,,,
clk,Input,PIN_23,1,B1_N0,,,,,,
dig1,Output,PIN_133,8,B8_N0,,,,,,
dig2,Output,PIN_135,8,B8_N0,,,,,,
dig3,Output,PIN_136,8,B8_N0,,,,,,
dig4,Output,PIN_137,8,B8_N0,,,,,,
i2c_scl,Output,PIN_99,6,B6_N0,,,,,,
i2c_sda,Bidir,PIN_98,6,B6_N0,,,,,,
ir,Input,PIN_100,6,B6_N0,,,,,,
lcd_d[7],Output,PIN_11,1,B1_N0,,,,,,
lcd_d[6],Output,PIN_7,1,B1_N0,,,,,,
lcd_d[5],Output,PIN_10,1,B1_N0,,,,,,
lcd_d[4],Output,PIN_2,1,B1_N0,,,,,,
lcd_d[3],Output,PIN_3,1,B1_N0,,,,,,
lcd_d[2],Output,PIN_144,8,B8_N0,,,,,,
lcd_d[1],Output,PIN_1,1,B1_N0,,,,,,
lcd_d[0],Output,PIN_142,8,B8_N0,,,,,,
